90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203328,1,2025-02-03 15:40:33,1057348,29043,N,12,0,12,355694,4268328,8,341466.24,355694,N,N,,N,Y,0,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203329,2,2025-02-03 15:40:33,1057348;1057447,77008,N,240,0,240,15856,3805440,8,304435.2,15856,Y,N,,Y,Y,0;304435.19,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203330,3,2025-02-03 15:40:33,1057348,45032,N,6,0,6,388636,2331816,8,186545.28,388636,N,N,,N,Y,0,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203331,4,2025-02-03 15:40:33,1057348,65002,N,240,0,240,35185,8444400,8,675552,35185,N,N,,N,Y,0,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203332,5,2025-02-03 15:40:33,1057348,28007,N,60,0,60,43322,2599320,8,207945.6,43322,N,N,,N,Y,0,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203333,6,2025-02-03 15:40:33,1057348;1057445,80107,N,96,0,96,17593,1688928,8,135114.24,17593,Y,N,,Y,Y,0;135113.89,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203334,7,2025-02-03 15:40:33,1057348,51022,N,3,0,3,572727,1718181,8,137454.48,572727,N,N,,N,Y,0,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203335,8,2025-02-03 15:40:33,1057348;1057449,35026,N,96,0,96,29299,2812704,8,225016.32,29299,Y,N,,Y,Y,0;225015.74,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203336,9,2025-02-03 15:40:33,1057348;1057449,35028,N,96,0,96,29299,2812704,8,225016.32,29299,Y,N,,Y,Y,0;225016.67,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203337,10,2025-02-03 15:40:33,1057348;1057447,77009,N,240,0,240,11343,2722320,8,217785.6,11343,Y,N,,Y,Y,0;217785.19,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203338,11,2025-02-03 15:40:33,1057348;1056756,83008,N,6,0,6,825394,4952364,8,396189.12,825394,N,N,,Y,Y,0;0,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,11568513,12,2025-02-03 15:40:33,1056756,E2439,N,6,6,0,0,0,0,0,0,N,Y,8662173857203338;8662173857203340;8662173857203341,Y,N,0,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203339,13,2025-02-03 15:40:33,1057348,89012,N,12,0,12,366639,4399668,8,351973.44,366639,N,N,,N,Y,0,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203340,14,2025-02-03 15:40:33,1057348;1056756,89014,N,6,0,6,785264,4711584,8,376926.72,785264,N,N,,Y,Y,0;0,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203341,15,2025-02-03 15:40:33,1057348;1056756,89015,N,6,0,6,785264,4711584,8,376926.72,785264,N,N,,Y,Y,0;0,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857203342,16,2025-02-03 15:40:33,1057348,79006,N,120,0,120,52169,6260280,8,500822.4,52169,N,N,,N,Y,0,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,11568518,17,2025-02-03 15:40:33,1057445,,Y,1,0,1,135113.89,135113.89,8,10809.11,0,N,N,,Y,Y,135113.89,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,11568519,18,2025-02-03 15:40:33,1057447,,Y,1,0,1,522220.37,522220.37,8,41777.63,0,N,N,,Y,Y,522220.37,,1000102,
90926579-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,11568520,19,2025-02-03 15:40:33,1057449,,Y,1,0,1,450032.41,450032.41,8,36002.59,0,N,N,,Y,Y,450032.41,,1000102,
