90927672-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857444672,1,2025-02-03 16:20:46,1057348;1057769,76036,N,6,0,6,596929,3581574,8,286525.92,596929,N,N,,Y,Y,0;0,,1000102,
90927672-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,11569935,2,2025-02-03 16:20:46,1057769,P2301,N,1,1,0,0,0,0,0,0,N,Y,8662173857444672,Y,N,0,,1000102,
90927672-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857444673,3,2025-02-03 16:20:46,1057348,76165,N,6,0,6,1028322,6169932,8,493594.56,1028322,N,N,,N,Y,0,,1000102,
90927672-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857444674,4,2025-02-03 16:20:46,1057348,29189,N,12,0,12,779792,9357504,8,748600.32,779792,N,N,,N,Y,0,,1000102,
90927672-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857444675,5,2025-02-03 16:20:46,1057348;1056754,29046,N,6,0,6,779792,4678752,8,374300.16,779792,N,N,,Y,Y,0;0,,1000102,
90927672-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,11569939,6,2025-02-03 16:20:46,1056754,L2424,N,1,1,0,0,0,0,0,0,N,Y,8662173857444675,Y,N,0,,1000102,
90927672-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857444676,7,2025-02-03 16:20:46,1057348,89123,N,12,0,12,785264,9423168,8,753853.44,785264,N,N,,N,Y,0,,1000102,
90927672-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857444677,8,2025-02-03 16:20:46,1057348,89016,N,12,0,12,366639,4399668,8,351973.44,366639,N,N,,N,Y,0,,1000102,
90927672-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,8662173857444678,9,2025-02-03 16:20:46,1057348;1056756,89017,N,12,0,12,785264,9423168,8,753853.44,785264,N,N,,Y,Y,0;0,,1000102,
90927672-00,Promotion Order,,12322397,1002206,100082150,78194,2008,10158,11569943,10,2025-02-03 16:20:46,1056756,E2439,N,4,4,0,0,0,0,0,0,N,Y,8662173857444678,Y,N,0,,1000102,
